,Whr robot with Laser Cut Components,,,,,,
,BOM   ,,,,,,
,Note : prices are from online retailers  for reference only.,,,,,,
,Part,Link, Estimated cost per bulk pkg , Qtty of parts in bulk pkg ,Qtty per unit required, Estimated cost per unit ,Notes
Frame ,Laser cutting,,$2.50 , 1 ,30, $75.00 ,It takes about 30 minutes to cut.   Pololu charges $2.50 per minute of cutting time.
 $91.60 ,Acrylic sheet 450mm x 300mm x 2mm,,$4.75 , 1 ,1, $4.75 ,Estimated cost of materials 
,Acrylic sheet 450mm x 300mm x 3mm,,$7.90 , 1 ,1, $7.90 ,Estimated cost of materials 
,"Pololu 1"" ball caster with plastic rollers",https://www.pololu.com/product/2691, $3.95 , 1 ,1, $3.95 ,"1 ea used in current design, 2 more can be added  for extra stability."
Electronics,Intel RealSense Robotic Development Kit,http://click.intel.com/intelr-realsensetm-robotic-development-kit.html, $250.00 , 1 ,1, $250.00 ,Estimated cost. According to manufacturer product shipping delayed up to  end of June2016. Will be replaced with GT Q3-4.
 $454.20 ,DC-DC 5A power convertor from DF Robot,http://www.dfrobot.com/index.php?route=product/product&path=70_119&product_id=752#.VpaHJ1LtvT9, $8.50 , 1 ,1, $8.50 ,
,MX-12W Dynamixel servos, http://www.trossenrobotics.com/dynamixel-mx-12w-robot-actuator, $65.90 , 1 ,2, $131.80 ,get the ones in individual boxes; you need the included mounting brackets if you laser-cut the frame. 
,Alternative source for servos,http://www.robotis.us/dynamixel-mx-12w/,,1,0, $-   ,Alternative source for servos
,USB2AX v3.2a,http://www.trossenrobotics.com/usb2ax, $39.95 ,1,1, $39.95 ,
,"TP-LINK AC600 High Gain Wireless Dual Band USB Adapter, ",https://www.amazon.com/TP-LINK-Wireless-Adapter-Archer-T2UH/dp/B00UZRVY12/ref=sr_1_3?ie=UTF8&qid=1468895211&sr=8-3&keywords=TP-link+usb+ac, $23.95 ,1,1, $23.95 ,“ac” mode and GHz support .Less expensive  b/g/n model can be used. Check for Linux driver availability. Also tested with cheap CanaKit WiFi dongle from Rpi kit.
